,ANO,MES,EMPRESA,ORIGEM,DESTINO,TARIFA,ASSENTOS,cidade_origem,UF_origem,lat_origem,lon_origem,cidade_destino,UF_destino,lat_destino,lon_destino,Sigla_origem,Reg_origem,Sigla_destino,Reg_destino,DISTANCIA
1844620,2021,9,GLO,SBIL,SBGR,787.01,4,Ilheus,Bahia,-14.8159999847,-39.0331993103,Sao Paulo,Sao-Paulo,-23.4355564117,-46.4730567932,BA,Nordeste,SP,Sudeste,1236.4627610021425
5045736,2021,11,AZU,SBSV,SBMS,1861.9,1,Salvador,Bahia,-12.9086112976,-38.3224983215,Mossoro,Rio-Grande-do-Norte,-5.2019200325,-37.3642997742,BA,Nordeste,RN,Nordeste,863.6410135092428
8402000,2020,12,GLO,SBSL,SBRB,428.9,1,Sao Luis,Maranhao,-2.5853600502,-44.2341003418,Rio Branco,Acre,-9.868888855,-67.8980560303,MA,Nordeste,AC,Norte,2737.1928771843186
540794,2019,10,GLO,SBSP,SBZM,921.9,2,Sao Paulo,Sao-Paulo,-23.6261100769,-46.6563873291,Juiz De Fora,Minas-Gerais,-21.5130558014,-43.1730575562,SP,Sudeste,MG,Sudeste,428.0395046867579
13748692,2022,2,GLO,SBCF,SBMO,638.9,4,Belo Horizonte,Minas-Gerais,-19.6244430542,-43.9719429016,Maceio,Alagoas,-9.5108098984,-35.7916984558,MG,Sudeste,AL,Nordeste,1427.7590194637166
7594114,2020,10,AZU,SBSR,SBPA,1117.9,1,Sao Jose Do Rio Preto,Sao-Paulo,-20.8166007996,-49.40650177,Porto Alegre,Rio-Grande-do-Sul,-29.9944000244,-51.1713981628,SP,Sudeste,RS,Sul,1036.0769591116054
317413,2021,5,TAM,SBTE,SBCF,1192.0,1,Teresina,Piaui,-5.0599398613,-42.8235015869,Belo Horizonte,Minas-Gerais,-19.6244430542,-43.9719429016,PI,Nordeste,MG,Sudeste,1624.7768018002134
3130571,2019,4,AZU,SBFL,SBUF,740.9,1,Florianopolis,Santa Catarina,-27.6702785492,-48.5525016785,Paulo Afonso,Bahia,-9.4008798599,-38.2505989075,SC,Sul,BA,Nordeste,2301.311803352211
3733750,2019,8,GLO,SBRP,SBRF,850.9,18,Ribeirao Preto,Sao-Paulo,-21.1363887787,-47.7766685486,Recife,Pernambuco,-8.1264896393,-34.9235992432,SP,Sudeste,PE,Nordeste,1999.2736234032518
3798701,2019,8,TAM,SBFZ,SBRF,96.9,7,Fortaleza,Ceara,-3.7762799263,-38.5326004028,Recife,Pernambuco,-8.1264896393,-34.9235992432,CE,Nordeste,PE,Nordeste,627.268723460079
